source,url,source_record_id,reason,notes
audizine,https://www.audizine.com/threads/wifes-q7-lowered.939043/,audizine:939043#6,unsupported_axis,Post discusses X5 suspension and Q7 wheel-gap comfort priority but gives no first-hand Q7-vs-X5 comfort winner.
audizine,https://www.audizine.com/threads/2017-q7.971600/,audizine:971600#5,ambiguous_generation_or_axis,Cross-shopping post says love Q7 but does not state a comfort-axis winner over X5.
audizine,https://www.audizine.com/threads/q7-is-the-best-towing-suv-hands-down.907245/,audizine:907245#1,unsupported_pair,"First-person Q7 comfort is compared with a Ram truck, which is outside the canonical SUV map."
audizine,https://www.audizine.com/threads/kw-street-comfort-review-some-new-wheels-tires.711625/,audizine:711625#1,unsupported_comparison,Owner discusses Q7 suspension setup without naming a second canonical SUV winner.
subaruforums,https://www.thesubaruforums.com/threads/uncomfortable-seats.16232/,subaruforums:16232#8,unsupported_winner,2024 Outback owner reports a bad seat and mentions an Ascent but explicitly did not take it on a long trip.
subaruforums,https://www.thesubaruforums.com/threads/2025-forester-seat-comfort.16326/,subaruforums:16326#3,unsupported_pair,Owner praises 2019 Outback seats but has no direct Forester comparison in the post.
genesisowners,https://genesisowners.com/genesis-forum/threads/my-personal-experience-with-2025-gv80-with-22inch-wheels-and-its-underwhelming-ride-comfort.55117/,genesisowners:55117#1,unsupported_pair,GV80 ride is compared with RX350/Kona/BMW/Benz generically; no canonical pair-specific winner retained.
subaruforums,https://www.thesubaruforums.com/threads/2005-subaru-outback-impressions-and-comparisons.2824/,subaruforums:2824#1,unmapped_model,"Strong Outback-versus-Volvo XC70 comfort passage, but XC70 is not in the current canonical model map."
subaruforums,https://www.thesubaruforums.com/threads/will-a-tall-person-fit-into-a-forester.2840/,subaruforums:2840#post14184,generation_drift,"First-hand 2004 Forester versus 1996 Outback seat comparison is outside the current 2020-2025 Subaru Outback node; not retained."
rivianforums,https://www.rivianforums.com/forum/threads/any-r1s-owner-coming-from-xc90.27457/,rivianforums:27457#post533847,tie,"Owner says XC90 has better seat support but immediately concludes R1S seat cooling makes the comparison a draw; ties are outside the estimand."
