id,source_record_id,published_at,winner_model_year,loser_model_year,winner_trim,loser_trim,generation_notes,wheel_tire_suspension,ownership_context,road_context,extraction_method,snapshot_path,audit_status
"758m","genesisowners:47056#post553883","2023-05-03","2019","2022","X5 multi-contour seats","GV80 3.5 Prestige","2019 X5 to 2022 GV80 3.5 Prestige; first-generation GV80/X5 comparison","","Owner states prior X5 and current GV80","seat comfort comparison","public HTML lines 142-174; post #3 (post-553883)","","included"
"6jbr","genesisowners:34600#post432557","2021-06-06","","","3.5 Sport Prestige","base Macan (4-cylinder)","First-generation GV70 and Macan contemporaneous test drives","","Back-to-back dealer drives","rough pavement and bumps","public HTML lines 64-97; post #1 (post-432557)","","included"
"amos","genesisowners:34813#post435039","2021-06-20","2021","","3.5TT Prestige","","First-generation GV80; X5 unspecified generation","Not stated","Owned GV80 after researching/test-driving X5 and other SUVs","30-mile home drive and local errands","public HTML lines 47-90; post #1 (post-435039)","","included"
"8eno","genesisowners:34813#post435039","2021-06-20","2021","","3.5TT Prestige","","First-generation GV80; X5 unspecified generation","Not stated","Owned GV80 after researching/test-driving X5 and other SUVs","30-mile home drive and local errands","public HTML lines 47-90; post #1 (post-435039)","","included"
"uid8","genesisowners:35680#post445061","2021-08-11","","","Advanced","","First-generation GV80; prior BMW X5 and other SUVs","Not stated","Owner compares current GV80 to previously owned X5","long-drive seating experience","public HTML lines 47-84; post #1 (post-445061)","","included"
"eeap","rivianforums:27457#post533507","2024-05-05","","","late first-gen XC90","R1S (21-inch unspecified)","First-gen XC90 with split rear gate versus early R1S","21-inch R1S not otherwise specified","Owner drove XC90 ~90k miles and current R1S","Family seating and 3rd-row use","public HTML lines 200-231; post #4 (post-533507)","","included"
"mqla","rivianforums:27457#post533507","2024-05-05","","","late first-gen XC90","R1S (21-inch unspecified)","First-gen XC90 with split rear gate versus early R1S","21-inch R1S not otherwise specified","Owner drove XC90 ~90k miles and current R1S","~400-mile/day long road trips","public HTML lines 200-231; post #4 (post-533507)","","included"
"f3j3","rivianforums:27457#post533807","2024-05-06","2017","2023","2017 hybrid Volvo XC90","R1S 21-inch","2017 hybrid Volvo (XC90 context) versus 2023 R1S","21-inch R1S","Traded 2017 hybrid Volvo for R1S","Family hauling and 3rd-row comparison","public HTML lines 232-263; post #5 (post-533807)","","included"
"a82c","rivianforums:16482#post1","2023-06-27","","2023","air-suspension Tahoe","new R1S","New 2023 household R1S against the family's contemporaneous Tahoe; Tahoe year and trim are not stated","Tahoe has air shocks; R1S wheel and suspension mode not stated for the direct comparison","Household owns both; the R1S was delivered for the author's wife and the Tahoe is used to pick up their children","Family use after two days in the R1S","public HTML lines 124-154; thread-starting post #1","","included"
"7396","rivianforums:16482#post1","2023-06-27","","2023","air-suspension Tahoe","new R1S","New 2023 household R1S against the family's contemporaneous Tahoe; Tahoe year and trim are not stated","Tahoe has air shocks; author says R1S damping is not as good and bumps are more apparent","Household owns both; the R1S was delivered for the author's wife and the Tahoe is used to pick up their children","Bump absorption and family use after two days in the R1S","public HTML lines 124-154; thread-starting post #1","","included"
