source,url,source_record_id,reason,notes
x,https://x.com/MtDewSocialiteX/status/1952401765208375320,x:1952401765208375320,no_comfort_winner,Owned both Tahoe and RX but loved them for different reasons; no directional ride/seat/NVH/overall winner.
x,https://x.com/RealMattMalecki/status/2015899048788820075,x:2015899048788820075,unnamed_competitors,"Owned R1S and later a Model X; ride/NVH complaint is versus unnamed competitors, not a named Model X ride winner."
x,https://x.com/730palm/status/2044468992861970867,x:2044468992861970867,loser_not_canonical,Traded Escalade for an unspecified Jeep; cannot map the loser to a canonical SUV.
x,https://x.com/brianmakse/status/2085373247365828984,x:2085373247365828984,journalist,Professional reviewer/YouTuber comparing 2026 Pilot to unnamed passive-damper three-rows; not an owner first-person pair.
x,https://x.com/shonoren1/status/2062267544388375015,x:2062267544388375015,non_suv_loser,Owns XC60 and Tesla Model 3; Model 3 is a sedan outside the canonical SUV map.
x,https://x.com/clairecesc/status/2011464937915498502,x:2011464937915498502,not_first_hand,CR-V smoother than RAV4 shopping opinion with no ownership or test-drive claim.
x,https://x.com/zroger73/status/1947391347410743582,x:1947391347410743582,same_nameplate_or_unsupported_pair,2026 vs 2023 Model Y is the same canonical node; CR-V/RAV4 comparison has no first-hand drive claim.
x,https://x.com/Joshs_wx/status/2087141085608858055,x:2087141085608858055,noncanonical_current_vehicle,"Ride sits below R1S and above Model Y, but the current vehicle is not named in-post and the bio EV9 is not in the canonical map."
x,https://x.com/Oldskul60s/status/2070112634469302476,x:2070112634469302476,not_first_hand,"Generic Telluride hybrid marketing copy, not a first-person pair."
x,https://x.com/ZroHour/status/1998960435576631320,x:1998960435576631320,axis_not_comfort,"Test-drove Palisade Hybrid and called it comfortable, but the explicit better-than Grand Highlander/TX clause is hybrid powertrain smoothness, not ride/seats/NVH."
x,https://x.com/BoozeBreath/status/2059464726456025165,x:2059464726456025165,other_not_driven,Owns GX 550 Luxury+ but says they have not driven the Land Cruiser.
x,https://x.com/PTrubey/status/2087907962253975899,x:2087907962253975899,non_suv_loser,Model Y rides smoother than author's Model S; Model S is not in the SUV map.
x,https://x.com/oghowie/status/2076067511213379657,x:2076067511213379657,no_comfort_winner,Owns both Model Y and X5 but states no directional comfort judgment.
x,https://x.com/cyruspavel/status/2046369469480480971,x:2046369469480480971,axis_not_comfort,"Owns 2025 X5 and 2020 Model Y; comparison is performance/tech, not ride, seats, NVH, or overall comfort."
x,https://x.com/rydudebro/status/2051692474251223229,x:2051692474251223229,unsupported_pair,Test-drove Aviator and wife used to own MDX; no direct Aviator-versus-MDX comfort winner.
