id,source_record_id,published_at,winner_model_year,loser_model_year,winner_trim,loser_trim,generation_notes,wheel_tire_suspension,ownership_context,road_context,extraction_method,snapshot_path,audit_status
9df4,x:1899450323703394744,2025-03-11,,,,,Owner of both Pilot and RAV4; model years and trims not stated.,Not stated.,Author states they have owned both vehicles.,Not stated beyond a general smoother-ride judgment.,official X search/thread interfaces; public post text,,included
kzc1,x:2011564752728924473,2026-01-14,,,,,"Author's Q7 is over 8 years old as of Jan 2026 (~2017-2018), still the current-generation Q7 node; same-day X5 test drive year not stated.",Not stated.,Owns the Q7; test-drove an X5 the same day.,Same-day shopping/comparison drive.,official X search/thread interfaces; public reply text,,included
4nib,x:1952370141188047220,2025-08-04,,,,,Current-generation GX 550 after trading a household Tahoe; exact Tahoe year not stated.,Not stated.,Household traded Tahoe for GX 550 and had been living with the Lexus for a few months.,Daily family use after the trade.,official X search/thread interfaces; public post text,,included
5uz6,x:2046288249031926271,2026-04-20,,2025,,,G05 X5 (2019-2026 chassis) versus 2025 Model X; both have air suspension.,Both equipped with air suspension; wheel sizes not stated.,Author owns both vehicles.,Not stated beyond a direct ride-quality comparison.,official X search/thread interfaces; public reply text,,included
f8fz,x:2046248492478370182,2026-04-20,,,,,Reply to an X5-versus-Model Y thread; loser coded as Model Y from that direct parent context. Years/trims not stated.,Not stated.,Author says they have both; parent thread is X5 versus Model Y.,Not stated beyond smoother/quieter ride.,official X search/thread interfaces; public reply plus parent post,,included
wqva,x:2046248492478370182,2026-04-20,,,,,Same statement as f8fz; quieter coded as NVH. Loser is Model Y from the parent X5-versus-Model Y thread.,Not stated.,Author says they have both.,Not stated beyond quieter ride.,official X search/thread interfaces; public reply plus parent post,,included
zs6t,x:2075692050931191880,2026-07-10,,,,Premium AWD,July 2026 test drive of a current Telluride versus a Model Y Premium AWD with FSD; author later confirmed they also test-drove Telluride and Outback.,Model Y tires inflated to 47 psi; Telluride setup not stated.,"Same-day/recent test drives of Model Y, Telluride, and Outback; passengers also rode.",Test-drive ride roughness; child carsick in the Model Y.,official X search/thread interfaces; public post plus author follow-up,,included
ecke,x:2075692050931191880,2026-07-10,2026,,,Premium AWD,"Author's 'new Outback' in a July 2026 test drive is coded as Subaru Outback 2026, the current-generation node. Model Y is Premium AWD.",Model Y tires inflated to 47 psi; Outback setup not stated.,Author later wrote they also test-drove the Outback and Telluride.,Test-drive comfort comparison; Model Y ride made a child carsick.,official X search/thread interfaces; public post plus author follow-up,,included
0nxs,x:2075968961888567565,2026-07-11,,,,,Author currently owns an X7 with air suspension and has driven many Model Ys; X5 mentioned as a class comparison is not separately coded.,X7 with air suspension options; Model Y setup not stated.,Owns X7; has driven many Model Y vehicles.,Ride-quality discussion of a rough Model Y test drive.,official X search/thread interfaces; public reply plus parent post,,included
8e8z,x:1892759282275536958,2025-02-21,2025,2022,Juniper Founders Edition,Plaid,"Juniper/2025 Model Y test drive versus owned 2022 Model X Plaid. Ride/suspension was described as almost as good, so only the NVH winner is coded.",Model X has adaptive/air suspension; Model Y setup not stated beyond the Juniper refresh.,Owns 2022 Model X Plaid and a 2025 Model 3; test-drove Juniper Model Y.,Test-drive NVH comparison.,official X search/thread interfaces; public post text,,included
0wdh,x:2003114394092499177,2025-12-22,2026,,350h,,Household bought a 2026 RX 350h after test-driving Highlander and Grand Highlander the same shopping period.,Not stated.,Owns the new RX; test-drove Highlander and Grand Highlander while shopping.,Dealer test drives during a midsize-SUV shop.,official X search/thread interfaces; public reply plus same-author purchase post,,included
ea5q,x:2003114394092499177,2025-12-22,2026,,350h,,Same statement as 0wdh; Grand Highlander is the current three-row Toyota node.,Not stated.,Owns the new RX; test-drove Grand Highlander while shopping.,Dealer test drives during a midsize-SUV shop.,official X search/thread interfaces; public reply plus same-author purchase post,,included
