id,winner,loser,weight_base,upvotes,source,evidence,home_team,comfort_axis,quote,url,statement_id,respondent_id,thread_id,community_affinity,collection_batch
9df4,Honda Pilot,Toyota RAV4,3.0,0,x,owned_both,0,ride,"I have owned both Lauren, depends on what is most important to you. Rav gets better gas mileage and Pilot has more space. I found the Pilot to have a smoother ride",https://x.com/Stayatsnowshoe/status/1899450323703394744,x:1899450323703394744,resp_1c5a1501cd9548d2,x:1899058800830619907,neutral,round_04_x
kzc1,Audi Q7,BMW X5,1.5,1,x,owned_one_td_other,0,ride,"I test drive a BMW x5 the same day, the audi was so much roomier and a smoother ride",https://x.com/Stan_less_Steel/status/2011564752728924473,x:2011564752728924473,resp_9926f7c0aca5749a,x:2011476008440922212,neutral,round_04_x
4nib,Lexus GX 550,Chevrolet Tahoe,3.0,5607,x,owned_both,0,ride,Been living with the new Lexus GX550 since trading in our cursed Tahoe for a few months now... The Lexus is faster. Better looking. Smoother ride.,https://x.com/robbiehendricks/status/1952370141188047220,x:1952370141188047220,resp_10c9df48935efc22,x:1952370141188047220,neutral,round_04_x
5uz6,BMW X5,Tesla Model X,3.0,1,x,owned_both,0,ride,"I have both G05 X5 and 25 MX, they both equipped with air suspension. The X5 ride quality is far beyond the MX",https://x.com/Fantast99484735/status/2046288249031926271,x:2046288249031926271,resp_7c83ac8d3ce67418,x:2046110874272706654,neutral,round_04_x
f8fz,BMW X5,Tesla Model Y,3.0,12,x,owned_both,0,ride,"I have both. And ya the Tesla is way better to drive. The only thing the X5 has on it is a smoother, quieter ride.",https://x.com/BoredElonMusk/status/2046248492478370182,x:2046248492478370182,resp_4b69d9d359402e50,x:2046110874272706654,neutral,round_04_x
wqva,BMW X5,Tesla Model Y,3.0,12,x,owned_both,0,nvh,"I have both. And ya the Tesla is way better to drive. The only thing the X5 has on it is a smoother, quieter ride.",https://x.com/BoredElonMusk/status/2046248492478370182,x:2046248492478370182,resp_4b69d9d359402e50,x:2046110874272706654,neutral,round_04_x
zs6t,Kia Telluride,Tesla Model Y,2.0,137,x,test_drove_both,0,ride,We test-drove a Model Y FSD... the ride was so rough my kid got carsick.... passengers preferred the new Telluride and Outback comfort by a mile.,https://x.com/girdley/status/2075692050931191880,x:2075692050931191880,resp_da2da5598dae6f81,x:2075692050931191880,neutral,round_04_x
ecke,Subaru Outback 2026,Tesla Model Y,2.0,137,x,test_drove_both,0,ride,We test-drove a Model Y FSD... the ride was so rough my kid got carsick.... passengers preferred the new Telluride and Outback comfort by a mile.,https://x.com/girdley/status/2075692050931191880,x:2075692050931191880,resp_da2da5598dae6f81,x:2075692050931191880,neutral,round_04_x
0nxs,BMW X7,Tesla Model Y,1.5,0,x,owned_one_td_other,0,ride,I agree with you that the Y drives rough... Drive a Y and then go drive an X5 / X7 (I own the latter) with the air suspension options checked.,https://x.com/marklarosa/status/2075968961888567565,x:2075968961888567565,resp_8eae0a2972e18340,x:2075692050931191880,neutral,round_04_x
8e8z,Tesla Model Y,Tesla Model X,1.5,652,x,owned_one_td_other,0,nvh,The Y is quiet- quiet- quiet matching the acoustic luxury of the new Model 3 and actually quieter than the Model X.,https://x.com/Avatrode/status/1892759282275536958,x:1892759282275536958,resp_861b18eebf5bad26,x:1892759282275536958,neutral,round_04_x
0wdh,Lexus RX,Toyota Highlander,1.5,0,x,owned_one_td_other,0,ride,We test drove both a Toyota Highlander and Grand Highlander. The ride was much smoother in the RX as well as some major interior upgrades.,https://x.com/BoujeeFinances/status/2003114394092499177,x:2003114394092499177,resp_4302d8fd0529ef2b,x:2002913046944260348,neutral,round_04_x
ea5q,Lexus RX,Toyota Grand Highlander,1.5,0,x,owned_one_td_other,0,ride,We test drove both a Toyota Highlander and Grand Highlander. The ride was much smoother in the RX as well as some major interior upgrades.,https://x.com/BoujeeFinances/status/2003114394092499177,x:2003114394092499177,resp_4302d8fd0529ef2b,x:2002913046944260348,neutral,round_04_x
