id,source_record_id,published_at,winner_model_year,loser_model_year,winner_trim,loser_trim,generation_notes,wheel_tire_suspension,ownership_context,road_context,extraction_method,snapshot_path,audit_status
e4db,clublexus:10223887,2018-06-13 21:53:00,,,,,Current X5 and RX test drives; post does not identify model years.,No tire details beyond RX having no runflats.,Directly drove current X5 and RX; chose Lexus.,Road driving comparison.,public_html_post,,included
93f8,clublexus:10283444,2018-08-20 08:18:00,2018,,Prestige,,"2018 Q7 Prestige; X5 shopping comparison, exact X5 year not stated.",Q7 on 21-inch all-seasons; no X5 setup stated.,Owner of 2007 RX; test drove X5 while shopping and bought Q7.,Uneven-road shopping drives.,public_html_post+jsonld,,included
5f11,clublexus:10283444,2018-08-20 08:18:00,2018,,Prestige,,"2018 Q7 Prestige; X5 shopping comparison, exact X5 year not stated.",Q7 on 21-inch all-seasons; no X5 setup stated.,Owner test-drove X5 and bought Q7.,Cabin room/comfort during shopping drives.,public_html_post+jsonld,,included
0091,clublexus:10827921,2020-06-17 17:13:00,,,,,QX80 versus LX570; seat rows explicitly compared.,No wheel/suspension details.,Former Infiniti dealership employee drove many QX vehicles and compared QX80/LX.,Second- and third-row passenger-seat comparison.,public_html_post,,included
2b37,clublexus:10606216,2019-09-06 13:38:54,2019,2010,,,2019 QX80 loaner against owner's 2010 LX570.,QX80 trim unknown; 4WD and Bose noted.,Owned 2010 LX570; drove family member's 2019 QX80 daily for one week.,Daily driving and highway bumps/noise.,public_html_post+jsonld,,included
54dc,mbworld:8711231,2023-01-29 10:49:00,2020,2021,GLS 450,xDrive40i,Owner reports 2020 GLS 450 and 2021 BMW X7 xDrive40i.,GLS 20-inch wheels; X7 setup not specified.,Owns both vehicles.,Road/noise comparison.,public_html_post,,included
0d5c,mbworld:8711231,2023-01-29 10:49:00,2020,2021,GLS 450,xDrive40i,Owner reports 2020 GLS 450 and 2021 BMW X7 xDrive40i.,GLS 20-inch wheels; X7 setup not specified.,Owns both vehicles.,Longer Interstate trips versus local travel.,public_html_post,,included
d2ac,mbworld:8711565,2023-01-29 19:11:00,2022,,X7 M50i with Dynamic Handling Package,,Owner has 2022 X7 M50i; GLS was test-driven.,Both on 21-inch wheels; X7 DHP explicitly credited for absorption.,Owns X7 and compared it with a GLS test drive.,Pothole/road-imperfection test drive.,public_html_post,,included
25ad,mbworld:8303630,2021-03-29 13:41:00,2021,2017,GLE 450,GLC 300 4Matic,Current V167 GLE against first-generation X253 GLC; the owner identifies both exact model years.,Both have acoustic glass; GLE alone has Airmatic.,Owns both vehicles.,Wind and road noise including speeds above 50 mph.,public_html_post,,included
e13a,mbworld:8303630,2021-03-29 13:41:00,2021,2017,GLE 450,GLC 300 4Matic,Current V167 GLE against first-generation X253 GLC; the owner identifies both exact model years.,Both have acoustic glass; GLE alone has Airmatic.,Owns both vehicles.,Direct seat-comfort comparison.,public_html_post,,included
5263,mbworld:8305443,2021-04-13 17:03:00,2020,2020,GLC 43,GLE 350,Contemporaneous 2020 X253 GLC 43 and V167 GLE 350 in the same household.,Not stated.,Owns both vehicles.,Direct seat-comfort comparison.,public_html_post,,included
