id,winner,loser,weight_base,upvotes,source,evidence,home_team,comfort_axis,quote,url,statement_id,respondent_id,thread_id,community_affinity,collection_batch
758m,BMW X5,Genesis GV80,3.0,0,genesisowners,owned_both,0,seats,"The multi-contour seats in my X5 were the best car seats, the GV80 seats are passable at best.",https://genesisowners.com/genesis-forum/threads/any-former-x5-owners-thinking-about-joining-you.47056/,genesisowners_47056_post553883,resp_68448de0a995de71,genesisowners_47056,loser,round_02_owner_forums
6jbr,Genesis GV70,Porsche Macan,2.0,0,genesisowners,test_drove_both,1,ride,"I went to drive a base Macan right afterwards and we agreed gv70 drove better. Macan little less body roll but not by much. Gv70 more comfortable ride but still felt very planted.",https://genesisowners.com/genesis-forum/threads/test-drove-3-5.34600/,genesisowners_34600_post432557,resp_5aa93c5a17ee11ac,genesisowners_34600,winner,round_02_owner_forums
amos,Genesis GV80,BMW X5,1.5,0,genesisowners,owned_one_td_other,1,overall,"I can honestly say that compared to all the other cars I researched deeply and test drove, the GV80 is clearly, for me, the best. The only car that came close was the BMW x5, and I feel the GV80 is better than that.",https://genesisowners.com/genesis-forum/threads/stop-thinking-and-start-doing-my-gv80-journey.34813/,genesisowners_34813_post435039,resp_9eca7991a27d4bef,genesisowners_34813,winner,round_02_owner_forums
8eno,Genesis GV80,BMW X5,1.5,0,genesisowners,owned_one_td_other,1,ride,"I have found, in this short experience, the GV80 to be just astonishingly nice to drive - composed, comfortable, quiet, smooth ride. The only car that came close was the BMW x5, and I feel the GV80 is better than that.",https://genesisowners.com/genesis-forum/threads/stop-thinking-and-start-doing-my-gv80-journey.34813/,genesisowners_34813_post435039,resp_9eca7991a27d4bef,genesisowners_34813,winner,round_02_owner_forums
uid8,BMW X5,Genesis GV80,3.0,0,genesisowners,owned_both,0,seats,"BMWs X5 ... had very comfortable and supportive seating evidenced and appreciated on long drives. Unfortunately the 2021 GV80 Advanced had none of the seating comfort.",https://genesisowners.com/genesis-forum/threads/all-fine-until-the-driver%E2%80%99s-seat.35680/,genesisowners_35680_post445061,resp_a92a2cb576b979f1,genesisowners_35680,loser,round_02_owner_forums
eeap,Volvo XC90,Rivian R1S,3.0,0,rivianforums,owned_both,0,seats,"The interior of the XC90 has much refined and nicer finish with a better ergonomics for us. The R1S driver's seat lacks lateral support both the seat cushion and the back.",https://www.rivianforums.com/forum/threads/any-r1s-owner-coming-from-xc90.27457/,rivianforums_27457_post533507,resp_35121ba6c37b92e2,rivianforums_27457,loser,round_02_owner_forums
mqla,Volvo XC90,Rivian R1S,3.0,0,rivianforums,owned_both,0,long_trip,"On a long road trips (~400 miles/day), I recall XC90 being less tiring than the R1S.",https://www.rivianforums.com/forum/threads/any-r1s-owner-coming-from-xc90.27457/,rivianforums_27457_post533507,resp_35121ba6c37b92e2,rivianforums_27457,loser,round_02_owner_forums
f3j3,Volvo XC90,Rivian R1S,3.0,0,rivianforums,owned_both,0,seats,"We traded our 2017 hybrid Volvo because we were much more experienced with EV's and got our R1s last year. The Volvos front seats and stereo were superior and I feel the fit and finish was also better.",https://www.rivianforums.com/forum/threads/any-r1s-owner-coming-from-xc90.27457/,rivianforums_27457_post533807,resp_e1768055db2fb333,rivianforums_27457,loser,round_02_owner_forums
a82c,Chevrolet Tahoe,Rivian R1S,3.0,0,rivianforums,owned_both,0,overall,"I jumped in the Tahoe to get the kids this afternoon and said, I don't ever need to drive the Rivian again. This is more comfortable, has HUD, rides better and is as quiet.",https://www.rivianforums.com/forum/threads/2-days-in-new-r1s-initial-thoughts-for-new-ev-owners.16482/,rivianforums_16482_post1,resp_c1268d763857ef50,rivianforums_16482,loser,round_02_owner_forums
7396,Chevrolet Tahoe,Rivian R1S,3.0,0,rivianforums,owned_both,0,ride,"I jumped in the Tahoe to get the kids this afternoon and said, I don't ever need to drive the Rivian again. This is more comfortable, has HUD, rides better and is as quiet.",https://www.rivianforums.com/forum/threads/2-days-in-new-r1s-initial-thoughts-for-new-ev-owners.16482/,rivianforums_16482_post1,resp_c1268d763857ef50,rivianforums_16482,loser,round_02_owner_forums
